iter	F1	Logloss
0	0.7401045775	0.6671217602
1	0.740652819	0.6454300454
2	0.7430909482	0.6262781187
3	0.7428152028	0.6097012657
4	0.7438173201	0.5959676799
5	0.7442020666	0.5763338414
6	0.7428365834	0.5668597012
7	0.7437902484	0.5560031117
8	0.7440950545	0.5416959342
9	0.744346526	0.5328037654
10	0.7444214401	0.5245478722
11	0.7444535507	0.5202812626
12	0.7442824451	0.51621879
13	0.7442395982	0.5138071221
14	0.7444321433	0.5101792357
15	0.7443091888	0.5077802648
16	0.7432368159	0.5049300841
17	0.743301094	0.5022677784
18	0.7431769661	0.5005961935
19	0.7433546676	0.4978000076
20	0.7431397713	0.4969283555
21	0.7437461251	0.4956694156
22	0.7432683848	0.4940183381
23	0.7436063871	0.4915891603
24	0.7445088711	0.488698048
25	0.7442021861	0.4882531688
26	0.7458796585	0.4869138127
27	0.746116399	0.4862547774
28	0.7464978878	0.4831645032
29	0.7463462069	0.4829011936
30	0.7467488121	0.4820458011
31	0.7468836263	0.4812001574
32	0.7469739292	0.4803357651
33	0.7473109672	0.4789763595
34	0.7475807392	0.4782512447
35	0.748223232	0.4774303225
36	0.7479973736	0.4771020563
37	0.7481121583	0.4770337164
38	0.746109107	0.4763702116
39	0.7476349962	0.4759641638
40	0.7471459085	0.4756780286
41	0.745745642	0.4752803308
42	0.7461349001	0.4748976782
43	0.7460192619	0.4744965994
44	0.7460192619	0.474383206
45	0.7466777532	0.4727053947
46	0.7468393921	0.4723145037
47	0.7470345156	0.4719117803
48	0.7467889089	0.4714501517
49	0.7469779075	0.470876494
50	0.7470288625	0.4693963182
51	0.7469211272	0.4692923507
52	0.746873601	0.4688850503
53	0.747065929	0.4686622172
54	0.7473025335	0.46851594
55	0.747794994	0.4682973918
56	0.747545289	0.4679166866
57	0.7472501196	0.4676224914
58	0.7477686247	0.4671936911
59	0.7476948868	0.4668864239
60	0.7482212669	0.4665051784
61	0.748190225	0.4663657311
62	0.7478743346	0.4663044111
63	0.7479572407	0.4658424545
64	0.7485071268	0.4655776331
65	0.7484382508	0.4653564222
66	0.7483932969	0.4651189545
67	0.7483397939	0.4649841558
68	0.7478726283	0.464667813
69	0.7480681921	0.4645629135
70	0.7482534329	0.4643421311
71	0.7479993369	0.4641674551
72	0.7477334781	0.463934404
73	0.7480600883	0.4627906696
74	0.7483124397	0.4627509837
75	0.7485690185	0.4624414825
76	0.7482726368	0.4622473371
77	0.7480789263	0.4620959497
78	0.7480067649	0.4620795112
79	0.7481310317	0.4620122115
80	0.7478804915	0.4617706443
81	0.7477721462	0.4613897876
82	0.7482362915	0.4612060428
83	0.748577654	0.4611904774
84	0.7488227724	0.4608768535
85	0.7484062448	0.4607215999
86	0.7486485259	0.4606632565
87	0.748882525	0.460454365
88	0.7493406893	0.460299101
89	0.7496627306	0.4600842068
90	0.7496854583	0.4599342806
91	0.7493667814	0.4598169217
92	0.749344051	0.4590694804
93	0.7491468353	0.4587463852
94	0.7490291262	0.4586079793
95	0.7493667814	0.4584151166
96	0.7494458109	0.4581939989
97	0.7495294189	0.4580715375
98	0.7497115093	0.458028163
99	0.7496393044	0.4578822721
100	0.74964678	0.4577990419
101	0.7496998343	0.4575874385
102	0.7493917275	0.4575192911
103	0.7492737532	0.4574413948
104	0.7493951337	0.4573338638
105	0.7495205917	0.4570894756
106	0.7497641007	0.4570128323
107	0.7487991216	0.4567989252
108	0.7489133253	0.4567100106
109	0.7491002257	0.4561603868
