iter	Passed	Remaining
0	295	58879
1	435	43156
2	553	36347
3	658	32254
4	764	29806
5	880	28475
6	987	27232
7	1111	26677
8	1242	26365
9	1374	26120
10	1478	25405
11	1592	24942
12	1700	24457
13	1772	23552
14	1870	23072
15	1965	22601
16	2077	22365
17	2181	22060
18	2291	21829
19	2384	21457
20	2469	21053
21	2567	20774
22	2651	20405
23	2751	20181
24	2851	19961
25	2907	19458
26	3008	19277
27	3109	19101
28	3214	18953
29	3264	18500
30	3359	18315
31	3435	18034
32	3532	17879
33	3631	17728
34	3731	17591
35	3831	17454
36	3927	17303
37	3979	16965
38	4080	16844
39	4176	16706
40	4273	16572
41	4367	16431
42	4457	16274
43	4549	16128
44	4618	15906
45	4710	15771
46	4804	15639
47	4898	15511
48	4991	15380
49	5084	15253
50	5182	15142
51	5271	15003
52	5362	14872
53	5479	14815
54	5573	14692
55	5673	14588
56	5770	14476
57	5865	14361
58	5965	14256
59	6064	14149
60	6163	14044
61	6256	13924
62	6346	13800
63	6449	13704
64	6538	13579
65	6627	13454
66	6720	13339
67	6820	13239
68	6910	13120
69	6967	12939
70	7066	12839
71	7158	12725
72	7268	12645
73	7417	12629
74	7483	12472
75	7600	12401
76	7704	12306
77	7813	12221
78	7857	12035
79	7954	11931
80	8050	11826
81	8147	11724
82	8259	11643
83	8314	11481
84	8414	11384
85	8509	11280
86	8589	11156
87	8680	11048
88	8784	10956
89	8883	10857
90	8947	10716
91	9038	10610
92	9134	10509
93	9264	10446
94	9412	10403
95	9534	10329
96	9627	10222
97	9722	10119
98	9803	10002
99	9901	9901
100	9987	9789
101	10086	9691
102	10182	9589
103	10315	9522
104	10427	9434
105	10532	9339
106	10629	9238
107	10727	9138
108	10824	9036
109	10917	8932
110	11016	8833
111	11112	8731
112	11141	8577
113	11241	8480
114	11333	8376
115	11442	8285
116	11543	8189
117	11645	8092
118	11744	7994
119	11840	7893
120	11930	7789
121	11982	7661
122	12060	7549
123	12118	7427
124	12157	7294
125	12222	7178
126	12316	7079
127	12410	6981
128	12507	6884
129	12599	6784
130	12696	6687
131	12791	6589
132	12887	6492
133	12948	6377
134	13044	6280
135	13118	6173
136	13189	6065
137	13295	5973
138	13393	5877
139	13432	5756
140	13524	5659
141	13622	5564
142	13723	5470
143	13769	5354
144	13862	5258
145	13972	5167
146	14079	5076
147	14172	4979
148	14264	4882
149	14323	4774
150	14417	4678
151	14480	4572
152	14592	4482
153	14696	4389
154	14788	4293
155	14886	4198
156	14985	4104
157	15088	4010
158	15204	3920
159	15296	3824
160	15389	3727
161	15447	3623
162	15551	3529
163	15604	3425
164	15698	3329
165	15743	3224
166	15844	3131
167	15899	3028
168	15992	2933
169	16092	2839
170	16186	2745
171	16250	2645
172	16350	2551
173	16399	2450
174	16453	2350
175	16555	2257
176	16584	2154
177	16670	2060
178	16773	1967
179	16873	1874
180	16970	1781
181	17055	1686
182	17147	1592
183	17200	1495
184	17297	1402
185	17388	1308
186	17479	1215
187	17581	1122
188	17689	1029
189	17784	936
190	17884	842
191	17982	749
192	18082	655
193	18177	562
194	18280	468
195	18374	374
196	18466	281
197	18569	187
198	18676	93
199	18776	0
